"File","Line","Text"
"lib\generated\app_localizations_ar.dart","98","'塈??堻堛堮堹? 媞?堭 ??堿?堹'"
"lib\generated\app_localizations_ar.dart","102","'堥?塈?塈堛 塈?媯?堭堜 媞?堭 ?堛媟塈堥?堜? ?堭堿? 堨媢塈堹堜 塈堮堛?塈堭 塈?媯?堭堜.'"
"lib\generated\app_localizations_ar.dart","105","'堨?奡塈堙 奡堮媯?堜'"
"lib\generated\app_localizations_ar.dart","109","'堧?堥?? 塈?奡堮媯?塈堛 (塈?媯?堭堜 塈?堧??? ?? 塈?媯?堭堜 塈?堭?堬?堜 塈?堭埵?堻?堜)'"
"lib\generated\app_localizations_ar.dart","112","'塈堻? 塈?奡堮媯?堜:*'"
"lib\generated\app_localizations_ar.dart","115","'?媯? 塈?奡堮媯?堜:'"
"lib\generated\app_localizations_ar.dart","118","'塈?媢?堭:'"
"lib\generated\app_localizations_ar.dart","121","'塈????堜:*'"
"lib\generated\app_localizations_ar.dart","124","'堛塈堭?堮 塈????塈堹:(MMDD)'"
"lib\generated\app_localizations_ar.dart","127","'塈?堿?堻 *'"
"lib\generated\app_localizations_ar.dart","130","'?? ?堛? 塈?塈堮堛?塈堭'"
"lib\generated\app_localizations_ar.dart","133","'堸?堭'"
"lib\generated\app_localizations_ar.dart","136","'堧?堳?'"
"lib\generated\app_localizations_ar.dart","139","'堧堮堭?'"
"lib\generated\app_localizations_ar.dart","142","'塈?媟??:(堻?)'"
"lib\generated\app_localizations_ar.dart","145","'?媯? 塈??婺?堭:'"
"lib\generated\app_localizations_ar.dart","148","'媢?塈?塈堛 塈?奡堮媯?堜'"
"lib\generated\app_localizations_ar.dart","151","'媢?塈?塈堛 奡堮媯?堜 堧堮堭?...'"
"lib\generated\app_localizations_ar.dart","154","'堧堮堭?'"
"lib\generated\app_localizations_ar.dart","158","'塈?堧奡?塈堙 塈???媔?堜:(?堳塈?: ?媢?堜 塈??堭塈??堜? 塈??媟媟? 塈?堧?塈? 塈???媟堭堜)'"
"lib\generated\app_localizations_ar.dart","162","'塈?堧奡?塈堙 塈???堭??堜:(?堳塈?: 塈??堭媢 塈??堭? 塈?堧?塈?? 塈?媯塈堮堥堜)'"
"lib\generated\app_localizations_ar.dart","166","'堧堻堭塈堭 媯媞?堭堜 ?塈 ?媢堭??塈 堧堶堹: (?堳塈?: ?? 塈?堶???堜 媔塈埵媢 ?? 塈?媟堭?)'"
"lib\generated\app_localizations_ar.dart","169","'塈?堻????塈堛 ?塈?堨??塈堙塈堛'"
"lib\generated\app_localizations_ar.dart","172","'?堥堭堜 ?堧堻??堥 塈???塈?: (?堳塈?: 堥塈堭堹 ?媢 塈?媞堭堥塈堙)'"
"lib\generated\app_localizations_ar.dart","176","'?堳塈? 媢?? 塈?堶?塈堭: (塈??塈媢堥: 堧?堛 ?媟?? 堿堹塈! 塈?奡堮媯?堜: ...堧??.)'"
"lib\generated\app_localizations_ar.dart","179","'堮???堜 塈?奡堮媯?堜:'"
"lib\generated\app_localizations_ar.dart","182","'堧堹堮? ?媯堜 堮???堜 塈?奡堮媯?堜 (堥堶堹 堧?媯? 2500 堶堭?)'"
"lib\generated\app_localizations_ar.dart","185","'堥堹塈?堜 塈??媯堜:'"
"lib\generated\app_localizations_ar.dart","188","'堧堹堮? 堶堥?堜 塈?奡堮媯?堜 (堥堶堹 堧?媯? 2500 堶堭?)'"
"lib\generated\app_localizations_ar.dart","192","'??堮媯 塈??媯堜 (堥堶堹 堧?媯? 50 堶堭??塈? 堻?婺?堭 媢?? 堥媟塈?堜 塈???塈堙)'"
"lib\generated\app_localizations_ar.dart","195","'?媢???塈堛 堨媔塈??堜 ??奡堮媯?堜:'"
"lib\generated\app_localizations_ar.dart","198","'堧堹堮? ?堶堛?? 堨媔塈??...'"
"lib\generated\app_localizations_ar.dart","202","'?? 堛堭?堹 堿媢??塈 媢塈?堜 ????? 塈??塈媢堥?? 塈?堞堮堭?? 堥塈??媢堥 堥?塈?'"
"lib\generated\app_localizations_ar.dart","205","'?媢?'"
"lib\generated\app_localizations_ar.dart","208","'?塈'"
"lib\generated\app_localizations_ar.dart","211","'堨?奡塈堙'"
"lib\generated\app_localizations_ar.dart","214","'堶?婺'"
"lib\generated\app_localizations_ar.dart","217","'堨?媞塈堙'"
"lib\generated\app_localizations_ar.dart","220","'堻堛堮堭堿 ?? 奡塈奡堜 堨?奡塈堙 塈?奡堮媯?堜'"
"lib\generated\app_localizations_ar.dart","223","'?? 堛堭?堹 塈?堶?婺 ??堻?堹堜?'"
"lib\generated\app_localizations_ar.dart","226","'?媢?'"
"lib\generated\app_localizations_ar.dart","229","'?塈'"
"lib\generated\app_localizations_ar.dart","232","'堛媢堹?? 塈??堶堛?? 塈?堨媔塈??'"
"lib\generated\app_localizations_ar.dart","236","'塈?堭堿塈堙 堨堹堮塈? 塈堻? 塈?奡堮媯?堜 ?堛堶??? 媯?堭堜 堭?堬?堜 ?塈堶堹堜 媢?? 塈?堧??!'"
"lib\generated\app_localizations_ar.dart","239","'堿塈堭? 塈?堶?婺...'"
"lib\generated\app_localizations_ar.dart","242","'堿塈堭? 堛堶??? 塈?媯?堭...'"
"lib\generated\app_localizations_ar.dart","245","'????? 堛堶??? 10 媯?堭 ?堶堹 堧?媯?.'"
"lib\generated\app_localizations_ar.dart","248","'堿塈堭? ?媢塈?堿堜 塈?媯?堭...'"
"lib\generated\app_localizations_ar.dart","251","'堿塈堭? 堶?婺 堥?塈?塈堛 塈?奡堮媯?堜...'"
"lib\generated\app_localizations_ar.dart","255","'堛? 堨?奡塈堙 塈?奡堮媯?堜 \""$charName\""!'"
"lib\generated\app_localizations_ar.dart","260","'?奡? 堨?奡塈堙 塈?奡堮媯?堜: 塈?堛?堛 ???堜 堛堶??? 塈?媯?堭堜? ?堭堿? 塈?堛堶?? ?? 塈堛媯塈?? 堥塈?堨?堛堭?堛.'"
"lib\generated\app_localizations_ar.dart","264","'?奡? 堨?奡塈堙 塈?奡堮媯?堜: $error'"
"lib\generated\app_localizations_ar.dart","268","'塈??婺?堭 ?塈??堶堛??'"
"lib\generated\app_localizations_ar.dart","271","'堨堹塈堭堜 塈?堶堻塈堥 ?塈??堶堛??'"
"lib\generated\app_localizations_ar.dart","274","'媢?塈'"
"lib\generated\app_localizations_ar.dart","277","'堨堹塈堭堜 塈?堶堻塈堥'"
"lib\generated\app_localizations_ar.dart","286","'媞?堭 ?媢堭??'"
"lib\generated\app_localizations_ar.dart","289","'堛? ?堻堮 ?媢堭?? 塈??堻堛堮堹? 堨?? 塈?堶塈?婺堜'"
"lib\generated\app_localizations_ar.dart","292","'堨堹塈堭堜 塈?奡堮媯?塈堛'"
"lib\generated\app_localizations_ar.dart","295","'媢堭媔 塈?奡堮媯?塈堛 塈??堶婺?堭堜'"
"lib\generated\app_localizations_ar.dart","298","'堻?塈堻堜 塈?堮媯?媯?堜'"
"lib\generated\app_localizations_ar.dart","301","'奡堭?媟 塈?堮堹?堜'"
"lib\generated\app_localizations_ar.dart","304","'堛堻堿?? 塈?堮堭?堿'"
"lib\generated\app_localizations_ar.dart","307","'?? 堛堭?堹 堛堻堿?? 塈?堮堭?堿?(織;?;`)'"
"lib\generated\app_localizations_ar.dart","310","'??堹 媔媞媟堛 堥塈?堮媟堧'"
"lib\generated\app_localizations_ar.dart","313","'堛堧??堹'"
"lib\generated\app_localizations_ar.dart","316","'堶堻?塈?! 堻堧?堛婺堭? 堶堛? 堛媢?堹??織?` )'"
"lib\generated\app_localizations_ar.dart","319","'堶堸? 塈?堶堻塈堥'"
"lib\generated\app_localizations_ar.dart","323","'?? 堧?堛 ?堛堧?堹 ?? 堧?? 堛堭?堹 堶堸? ?堸塈 塈?堶堻塈堥?鉈毯?'"
"lib\generated\app_localizations_ar.dart","327","'?塈 ???? 塈?堛堭塈堿媢 媢? ?堸塈 塈?堨堿堭塈堙? ?堻?堛? 堶堸? 堿??媢 塈?堥?塈?塈堛 堥奡?? 堹塈埵?!'"
"lib\generated\app_localizations_ar.dart","330","'?塈? ?塈 堧堭?堹 塈?堶堸?'"
"lib\generated\app_localizations_ar.dart","333","'堛堧??堹'"
"lib\generated\app_localizations_ar.dart","336","'堛? 堶堸? 塈?堶堻塈堥 堥?堿塈堶.'"
"lib\generated\app_localizations_ar.dart","340","'塈?奡堮媯?塈堛 ?塈??奡塈?堹 ?? 塈??媢堥堜 堮?塈??堜? ?堭堿? 媢堹? 堛媟堥???塈 媢?? 塈??塈?媢! 堨堸塈 ?塈? ??塈? 堧? 堛奡塈堥?? ??? ?? ?堥?? 塈?媯堹?堜 塈?堥堶堛堜.'"
"lib\generated\app_localizations_ar.dart","344","'堨媯堹塈堭 塈?堛媟堥??: $version'"
"lib\generated\app_localizations_ar.dart","348","'堛???堶'"
"lib\generated\app_localizations_ar.dart","352","'?堭堿? 堛媢堹?? ???? 塈?奡堮媯? ?堨??塈? 堥?塈?塈堛? 堧??塈?!'"
"lib\generated\app_localizations_ar.dart","355","'塈?堛?塈? 堨?? 塈?堛媢堹??'"
"lib\generated\app_localizations_ar.dart","358","'?塈堶?塈?'"
"lib\generated\app_localizations_ar.dart","362","'堛堛堶堹堳 ?媢 $friendName'"
"lib\generated\app_localizations_ar.dart","367","'?堶堛?? 塈?堹堭堹奡堜 ?媢 $friendName'"
"lib\generated\app_localizations_ar.dart","371","'塈?堛堥 堭堻塈?堜...'"
"lib\generated\app_localizations_ar.dart","374","'?? ?堛? 塈?媢堳?堭 媢?? 堥?塈?塈堛 塈?奡堮媯?堜'"
"lib\generated\app_localizations_ar.dart","378","'?奡? 堛堶??? 堛?塈媯?? 塈?奡堮媯?堜: $errorDetails'"
"lib\generated\app_localizations_ar.dart","382","'塈?媢?塈?堜 塈?堧???堜'"
"lib\generated\app_localizations_ar.dart","385","'媯堹?? 塈?媟???堜'"
"lib\generated\app_localizations_ar.dart","388","'堬???/堜 堧?堥堭/堧媯媞堭'"
"lib\generated\app_localizations_ar.dart","391","'堬?堿塈? ?堛奡塈堿堭塈?'"
"lib\generated\app_localizations_ar.dart","394","'堬??塈堙 媢??'"
"lib\generated\app_localizations_ar.dart","397","'堧堮堭? (?堭堿? 塈?堨堹堮塈? ?堹??塈?)'"
"lib\generated\app_localizations_ar.dart","400","'?媔媢 ????'"
"lib\generated\app_localizations_ar.dart","403","'?媔媢 塈??媯堜'"
"lib\generated\app_localizations_ar.dart","406","'?媔媢 塈?塈?媞?塈堻'"
"lib\generated\app_localizations_ar.dart","409","'?堭塈??堜 塈?堶?塈堜'"
"lib\generated\app_localizations_ar.dart","412","'堨媢?塈? 堿堹?堹'"
"lib\generated\app_localizations_ar.dart","416","'?媯?堛 堭堻塈?堜 堬???堜 堿堹?堹堜! 塈堸?堥 ?堛堶?? ?? ??塈?堜 塈?堥堭堹? 塈?堞?!'"
"lib\generated\app_localizations_ar.dart","419","'堭堹 堮堹?堜 塈?媢??塈堙'"
"lib\generated\app_localizations_ar.dart","422","'堨媢?塈? 塈??婺塈?'"
"lib\generated\app_localizations_ar.dart","425","'?塈 堛?堿堹 堨媢?塈?塈堛 堶塈??塈?'"
"lib\generated\app_localizations_ar.dart","428","'堥堹?? 媢??塈?'"
"lib\generated\app_localizations_ar.dart","431","'?塈 ??堿堹 ?堶堛??'"
"lib\generated\app_localizations_ar.dart","434","'堻?塈堻堜 塈?堮媯?媯?堜 ?? \""Lianlian Shiguang\""'"
"lib\generated\app_localizations_ar.dart","437","'堞堮堭 堛堶堹?堳: 10 堧堥堭?? 2026'"
"lib\generated\app_localizations_ar.dart","441","'堻?塈堻堜 塈?堮媯?媯?堜 ?? \""Lianlian Shiguang\""\n堛塈堭?堮 塈?堛堶堹?堳 塈?堧堮?堭: 10 堧堥堭?? 2026\n\n?堭堶堥?塈 堥? ?? \""Lianlian Shiguang\"" (塈??奡塈堭 堨???塈 ???塈 ??? 堥? \""塈?堮堹?堜\""). ?堶? ???? 堧???堜 ?堥堭? ?堮媯?媯?堛?. 堛?堹? ?堸? 塈?堻?塈堻堜 堨?? 堛?媔?堶 ????堜 堿?媢?塈 ?塈堻堛堮堹塈??塈 ?堶?塈?堛?塈 ??媢???塈堛? 塈?奡堮媯?堜.\n\n1. ?媢???塈堛 塈?堶堻塈堥:\n堛堻堿?? 塈?堹堮?? 媢堥堭 媟堭? 堳塈?堳: 媢?堹?塈 堛??? 堥堛堻堿?? 塈?堹堮?? 媢堥堭 堶堻塈堥塈堛 Google 堧? Facebook 堧? Apple? ?堿?媢 ?媢堭? Firebase UID 塈?堮塈媯 堥?? ?堥堭?堹? 塈?堨??堛堭???? ?塈堻?? 塈??堻堛媢塈堭 塈?媢塈?.\n塈?堛堻堿?? 媢堥堭 塈?堥堭?堹 塈?堨??堛堭???: 媢?堹?塈 堛堮堛塈堭 塈?堛堻堿?? 媢堥堭 塈?堥堭?堹 塈?堨??堛堭???? ?堿?媢 堶堻塈堥 堥堭?堹? 塈?堨??堛堭???. ?堛? 堨堹塈堭堜 ?堛堮堬?? ???堜 ?堭?堭 堛堻堿?? 塈?堹堮?? 塈?堮塈媯堜 堥? ?? 堮?塈? 堛???堜 堛奡??堭 Firebase? ??塈 ???? ??堭?? 塈?堛媟??堭 塈??媯?? 堨?? ???堜 塈??堭?堭 塈?堧媯??堜 塈?堮塈媯堜 堥?. ?堶? ??堛堬? 堥塈堛堮塈堸 ?媢塈??堭 堧?塈? 塈?媯?塈媢堜 ?媔?塈? 堻?塈?堜 堥?塈?塈堛? 塈?奡堮媯?堜.\n\n堥?塈?塈堛 塈?堛?塈媢?: ?堛???? 奡堮媯?塈堛 塈?堸?塈堙 塈?塈媯媟?塈媢? ?? 塈?堛?塈? 堸塈?堭堜 ?堻堛?堭堜? ???? 堥堿?媢 ?堛堮堬?? 堻堿?塈堛 堶?塈堭塈堛? ?媢 塈?堸?塈堙 塈?塈媯媟?塈媢? ?塈??堶堛?? 塈?堸? 堛?堛堥? ??奡堮媯?塈堛 堹塈堮? 塈??媢堥堜.\n\n?媢???塈堛 塈?堿?塈堬: 堛奡?? 媟堭塈堬 塈?堿?塈堬? ?堨媯堹塈堭 ?婺塈? 塈?堛奡媞??? ??媢堭? 塈?堿?塈堬 塈??堭?堹? ?堛堻堛堮堹? ?堛堶堻?? 塈??婺塈?.\n\n2. ????堜 塈堻堛堮堹塈? 塈??媢???塈堛:\n堛堶堻?? 堛堿堭堥堜 塈?堸?塈堙 塈?塈媯媟?塈媢?: 塈堻堛堮堹塈? 堻堿?塈堛 塈?堶?塈堭 ?堛堶堻?? 堿?堹堜 堭堹?堹 塈?堸?塈堙 塈?塈媯媟?塈媢? ?塈堻堛?堭塈堭?堜 塈?奡堮媯?堜.\n媢???塈堛 塈?堮堹?堜: 堛堻堛堮堹? ??媢塈?堿堜 奡堶? 塈???塈媟? ?堻堿?塈堛 塈?塈堻堛??塈?? ?塈?堛堶?? ?? ???堜 塈??堻堛堮堹?.\n塈?堶?塈?堜 塈?堧???堜: ?堭塈?堥堜 塈?堻????塈堛 塈?媔塈堭堜 ?堶?塈?堜 塈?堮塈堹? ?? 塈??堿?塈堛.\n\n3. 塈?堛媢塈?? 塈?堛??? ?媢 堧媟堭塈? 堳塈?堳堜:\n堛媢堛?堹 ?堸? 塈?堮堹?堜 媢?? 塈?堛???塈堛 塈?堹???堜 塈?堭埵?堻?堜 塈?堛塈??堜 ??堹媢?:\nGoogle Cloud / Firebase: ?堛堮堬?? 塈?堥?塈?塈堛 ?塈?堛堶?? ?? 塈????堜.\nOpenRouter / xAI / Meta: ?堛???堭 ??媟? 塈?堶堻塈堥 ???塈堸堿 塈?堸?塈堙 塈?塈媯媟?塈媢?.\n??塈堶婺堜: ?? ???? 堥堥?媢 堻堿?塈堛 堶?塈堭塈堛? 塈?堧媯??堜 ?堧? ?媢??.\n\n4. 堛堮堬?? ?堶堸? 塈?堥?塈?塈堛:\n堻?堛? 堛堮堬?? 堥?塈?塈堛? 堥奡?? 堞?? ?? 堮?塈堹? 堻堶塈堥?堜. ????? 塈?塈堛媯塈? 堥?塈 ?? 堧? ??堛 ?媟?堥 堶堸? 堶堻塈堥? ?堿??媢 堥?塈?塈堛 塈?堶?塈堭 塈??堭堛堥媟堜 堥? 堥奡?? 堹塈埵?.'"
"lib\generated\app_localizations_ar.dart","444","'奡堭?媟 塈?堮堹?堜 ?? \""Lianlian Shiguang\""'"
"lib\generated\app_localizations_ar.dart","447","'堞堮堭 堛堶堹?堳: 10 堧堥堭?? 2026'"
"lib\generated\app_localizations_ar.dart","451","'奡堭?媟 塈堻堛堮堹塈? 堮堹?堜 \""Lianlian Shiguang\""\n堛塈堭?堮 塈?堛堶堹?堳 塈?堧堮?堭: 10 堧堥堭?? 2026\n\n?堥? 塈堻堛堮堹塈? \""Lianlian Shiguang\"" (塈??奡塈堭 堨???塈 ???塈 ??? 堥? \""塈?堮堹?堜\"")? ?堭堿? ?堭塈堙堜 塈?奡堭?媟 塈?堛塈??堜 堥媢?塈?堜. 塈?堥堹堙 ?? 塈堻堛堮堹塈? 塈?堮堹?堜 ?媢?? ??塈??堛? 媢?? ?塈 ???:\n\n1. 媟堥?媢堜 塈?堮堹?堜 ?堨堮?塈堙 塈??堻堣???堜:\n堛?塈媢? 媞?堭 堥奡堭?: ?堛? 堨?奡塈堙 堿??媢 堭堹?堹 塈?奡堮媯?塈堛 ?? ?堸? 塈?堮堹?堜 堥?塈堻媟堜 塈?堸?塈堙 塈?塈媯媟?塈媢? 塈?堛???堹? (Generative AI). ??塈 堛?堳? 堛媯堭?堶塈堛 塈?奡堮媯?塈堛 ???? 塈??媟?堭.\n?堮塈媟堭 塈?堻堭堹: ?堹 ??奡埵 塈?堸?塈堙 塈?塈媯媟?塈媢? ?堶堛?? 堮?塈???塈 堧? 媞?堭 堹??? 堧? 媞?堭 ?堭?堶. ?堿堥 堧? ?堛?堛媢 塈??堻堛堮堹? 堥塈??堹堭堜 媢?? 塈?堛???堬 堥?? 塈?堮?塈? ?塈??塈?媢.\n\n2. 塈???塈媟 塈?塈?堛堭塈媔?堜 ????堸堿 塈?堹?媢:\n媟堥?媢堜 塈???塈媟: 塈???塈媟 堹塈堮? ?堸? 塈?堮堹?堜 ?? 堻?媢 塈?堛堭塈媔?堜? ?堥?堿堭堹 塈堻堛??塈??塈 (?堳?: 堹堮?? 塈??媯堜? ?媔媢 塈?塈?媞?塈堻? 堨堭堻塈? 塈??堹塈?塈? 塈???塈??塈堛 塈?媯?堛?堜) ?塈 ???? 塈堻堛堭堹塈堹?塈.\n塈堮堛?塈? 塈?堛???堜: 堛媢堛?堹 ?媢塈??堭 塈堻堛??塈? 塈???塈媟 ?? 塈?堧?媔塈媢 塈??堮堛??堜 媢?? 堛?塈??? 堶堻塈堥 塈?堸?塈堙 塈?塈媯媟?塈媢?? ?堛堶堛?婺 塈?堮堹?堜 堥塈?堶? ?? 堛媢堹?? 塈?堛?塈???.\n\n3. ??塈媢堹 堻??? 塈??堻堛堮堹?:\n塈??堶婺?堭塈堛: ??堶婺堭 塈堻堛堮堹塈? 塈?堸?塈堙 塈?塈媯媟?塈媢? ?堨?奡塈堙 ?堶堛?? ?堛媔?? 媢???塈 ??堭媟?塈? 堧? 堛?堿???塈 堨堿堭塈???塈? 堧? ??堛?? 塈??塈???.\n塈?堛堹堮? ?? 塈??婺塈?: ????媢 ??媢?塈 堥塈堛?塈 塈?堶媯?? 媢?? 堥?塈?塈堛 塈?堮堹?堜 堥奡?? 媞?堭 ?塈???? ?? 堮?塈? 堧? 堧堹?塈堛 堧堛?堛堜 堧? ??堹堻堜 媢?堻?堜.\n\n4. 堶??? 塈?????堜 塈???堭?堜 ?????堜 塈??堶堛??:\n塈??堶堛?? 塈?堧媯??: 堛?堛?? 堶??? 塈?????堜 塈???堭?堜 ?堧堻?塈堙 塈?奡堮媯?塈堛 (?堳? 塈?奡堮媯?塈堛 塈?堭堻??堜 ?? Cheng An)? ?堨媢堹塈堹塈堛 塈?堮???堜? ??媯?媯 塈??媯媯? ??媯?媯 塈?堶?塈堭? ???媟? 塈??媢堥堜? ?塈?堧堻?塈堙 塈?堛堿塈堭?堜 塈?堶媯堭?堜 堨?? \""?堭?? 堛媟??堭 Lianlian Shiguang\"".\n??塈堭堹 ?堭堮媯堜 ?? 堧媟堭塈? 堳塈?堳堜: 塈?堭??堬 ?塈?堮媟?媟 ?塈?堭??堬 塈?堛媢堥?堭?堜 塈??堻堛堮堹?堜 ?? ?塈堿?堜 塈?堮堹?堜 堛媢?堹 ????堛?塈 ?堧媯堶塈堥 塈?堛堭塈堮?媯 塈?堧媯????? ??堛? 塈堻堛堮堹塈??塈 ?塈?????塈 ????塈 ?塈堛?塈??塈堛 塈??媯堹堭 塈???堛?堶 堧? 塈?堛堭堮?媯.\n塈??堶堛?? 塈???奡堧 堥塈?堸?塈堙 塈?塈媯媟?塈媢?: 堥媢媔 塈?媯?堭 塈????堜 ?? 塈?堮堹?堜 堛? 堨?奡塈堣?塈 堥塈堻堛堮堹塈? 堧堹?塈堛 塈?堸?塈堙 塈?塈媯媟?塈媢? (?堳? Niji.journey)? ??媔?? 塈??堭?? 塈?堶媯?? 媢?? 堛堭塈堮?媯 塈?塈堻堛堮堹塈? 塈?堛堿塈堭? ??塈. 堛媢?堹 堶??? 塈?塈堻堛堮堹塈? ?塈?堛奡媞?? ??堸? 塈?媯?堭 堨?? 塈??堭??.\n塈?堧?媢塈? 塈??堶婺?堭堜: ????媢 ??媢?塈 堥塈堛?塈 塈堻堛堮堹塈? 堧? ?? 塈??堶堛??塈堛 塈??堸??堭堜 堧媢?塈? ??堭堥堶 塈?堛堿塈堭? 堧? 堨媢塈堹堜 塈?堛?堬?媢 堹?? 堨堸? 堭堻??.\n\n5. 堨??塈堙 塈?堮堹?堜:\n?? 堶塈? ?堮塈??堜 塈??堻堛堮堹? ???塈埵堶 塈??堸??堭堜 堧媢?塈?? ?堶? ??堮堹?堜 堛媢??? 塈?堶堻塈堥 堧? 堛媢媟??? ??塈埵??塈 堹?? 堨奡媢塈堭 ?堻堥?.'"
"lib\generated\app_localizations_ar.dart","454","'?堭堿? 堛堻堿?? 塈?堹堮?? 堧??塈?'"
"lib\generated\app_localizations_ar.dart","457","'堨堹塈堭堜 塈?奡堮媯?塈堛 塈?堻堶塈堥?堜'"
"lib\generated\app_localizations_ar.dart","460","'堮媟堧 ?? 塈?塈堛媯塈?'"
"lib\generated\app_localizations_ar.dart","463","'?? 堛?塈堥? 堧? 奡堮媯?塈堛 堥媢堹!'"
"lib\generated\app_localizations_ar.dart","466","'塈?堶塈?堜: 堛? 堨??塈? 塈?塈堛媯塈?'"
"lib\generated\app_localizations_ar.dart","469","'塈?堶塈?堜: ??堹 塈?堛?堹?'"
"lib\generated\app_localizations_ar.dart","472","'堨?媞塈堙 塈?堶婺堭'"
"lib\generated\app_localizations_ar.dart","475","'堶婺堭'"
"lib\generated\app_localizations_ar.dart","478","'?? 堧?堛 ?堛堧?堹 堧?? 堛堭?堹 塈?堶婺堭?'"
"lib\generated\app_localizations_ar.dart","482","'堥媢堹 塈?堶婺堭? ?? 堛堛??? ?堣?堛?塈 ?? 堛??? 堭堻塈埵? ?? $charName.'"
"lib\generated\app_localizations_ar.dart","486","'??堭 ?堭堜 堧堮堭?'"
